#TYPE System.Security.AccessControl.FileSystemAccessRule
"Path","FileSystemRights","AccessControlType","IdentityReference","IsInherited","InheritanceFlags","PropagationFlags"
"X:\","ReadAndExecute, Synchronize","Allow","Everyone","False","None","None"
"X:\","268435456","Allow","CREATOR OWNER","False","ContainerInherit, ObjectInherit","InheritOnly"
"X:\","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"X:\","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"X:\","AppendData","Allow","BUILTIN\Users","False","ContainerInherit","None"
"X:\","CreateFiles","Allow","BUILTIN\Users","False","ContainerInherit","InheritOnly"
"X:\","ReadAndExecute, Synchronize","Allow","BUILTIN\Users","False","ContainerInherit, ObjectInherit","None"
"X:\Data","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data","ReadAndExecute, Synchronize","Allow","S-1-5-5-0-1084595","False","None","None"
"X:\Data\BoardOfDirectors","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments","FullControl","Allow","SERI\Aaron.Nichols","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Projects","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\TestData","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\TestData","ReadAndExecute, Synchronize","Allow","S-1-5-5-0-1084595","False","None","None"
"X:\Data\Users","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\BoardOfDirectors\BoardMeetingMinutess","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\BoardOfDirectors\EBITDA_results","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\Accounting","FullControl","Allow","CREATOR OWNER","False","ContainerInherit, ObjectInherit","InheritOnly"
"X:\Data\Departments\Accounting","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting","FullControl","Allow","BUILTIN\Administrators","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting","Modify, Synchronize","Allow","SERI\Eric.Howard","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Accounting","ReadAndExecute, Synchronize","Allow","SERI\AccountingGeneral","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Audit","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\Development","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\Finance","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\FolderToMove","FullControl","Allow","BUILTIN\Administrators","False","None","None"
"X:\Data\Departments\Human Resources","FullControl","Allow","NT AUTHORITY\SYSTEM","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources","FullControl","Allow","SIQ1\Administrator","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources","FullControl","Allow","SIQ1\skytap","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources","ReadAndExecute, Synchronize","Allow","SERI\siqt-HQ Filer-Read & Execute","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources","FullControl","Allow","SERI\siqt-HQ Filer-Full Control","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources","FullControl","Allow","SERI\siqr-HQ Filer-Human Resources-Full Control-2","False","ContainerInherit, ObjectInherit","None"
"X:\Data\Departments\Human Resources","ReadAndExecute, Synchronize","Allow","SERI\siqr-HQ Filer-Human Resources-List Folder Contents-2","False","ContainerInherit","None"
"X:\Data\Departments\Human Resources","ReadAndExecute, Synchronize","Allow","SERI\siqr-HQ Filer-Human Resources-Read & Execute-2","False","ContainerInherit, ObjectInherit","None"
